neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
North Beach,2015-08-18,1,1,Entire condo,Entire home/apt,4,2,417.0,6.035481432524756,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,280.0,5.638354669333745,0
Noe Valley,2013-12-07,1,1,Entire condo,Entire home/apt,4,2,195.0,5.278114659230517,3
South of Market,2014-06-02,1,1,Private room in home,Private room,2,1,60.0,4.110873864173311,0
Castro/Upper Market,2012-03-02,1,0,Private room in condo,Private room,1,1,120.0,4.795790545596741,1
South of Market,2019-10-29,9,1,Entire rental unit,Entire home/apt,2,1,99.0,4.605170185988092,0
Downtown/Civic Center,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,81.0,4.406719247264253,0
Bayview,2017-09-09,1,1,Entire home,Entire home/apt,5,3,172.0,5.153291594497779,3
Nob Hill,2019-06-11,55,1,Private room in rental unit,Private room,1,0,47.0,3.871201010907891,0
Bernal Heights,2022-12-06,2,1,Entire home,Entire home/apt,6,2,492.0,6.20050917404269,3
Noe Valley,2019-06-11,55,1,Private room in home,Private room,2,0,47.0,3.871201010907891,3
South of Market,2013-02-20,1,1,Entire condo,Entire home/apt,2,2,250.0,5.5254529391317835,0
Outer Sunset,2013-09-10,1,1,Entire home,Entire home/apt,6,3,700.0,6.55250788703459,2
Bayview,2019-01-23,1,1,Shared room in home,Shared room,1,2,45.0,3.828641396489095,3
Outer Sunset,2019-06-17,1,1,Entire home,Entire home/apt,7,4,406.0,6.008813185442595,2
Haight Ashbury,2011-08-29,5,1,Private room in home,Private room,4,2,84.0,4.442651256490317,1
Crocker Amazon,2015-01-24,5,1,Private room in home,Private room,2,1,52.0,3.970291913552122,4
Outer Richmond,2021-09-09,1,1,Entire rental unit,Entire home/apt,4,2,155.0,5.049856007249537,2
Outer Sunset,2014-11-20,2,1,Entire home,Entire home/apt,4,2,185.0,5.225746673713202,2
Financial District,2016-09-05,15,1,Room in boutique hotel,Private room,2,1,128.0,4.859812404361672,0
Outer Sunset,2012-05-07,2,1,Entire condo,Entire home/apt,4,3,160.0,5.081404364984463,2
Crocker Amazon,2015-01-24,5,1,Private room in home,Private room,2,1,50.0,3.9318256327243257,4
Mission,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,196.0,5.2832037287379885,1
Outer Richmond,2013-04-24,2,1,Entire rental unit,Entire home/apt,6,3,198.0,5.293304824724492,2
Downtown/Civic Center,2014-10-08,19,1,Entire condo,Entire home/apt,8,4,685.0,6.530877627725885,0
Nob Hill,2013-03-19,1,1,Entire home,Entire home/apt,9,4,230.0,5.442417710521793,0
Western Addition,2013-02-19,1,1,Private room in rental unit,Private room,2,1,69.0,4.248495242049359,1
Nob Hill,2022-03-22,7,1,Entire townhouse,Entire home/apt,6,2,395.0,5.981414211254481,0
Western Addition,2020-08-29,1,1,Entire home,Entire home/apt,4,2,400.0,5.993961427306569,1
South of Market,2015-09-06,4,1,Room in hotel,Private room,2,1,63.0,4.1588830833596715,0
Outer Mission,2016-05-23,1,0,Entire condo,Entire home/apt,3,2,150.0,5.017279836814924,4
Western Addition,2018-02-18,1,1,Entire home,Entire home/apt,6,3,356.0,5.877735781779639,1
Ocean View,2012-02-01,1,1,Private room in townhouse,Private room,1,1,40.0,3.713572066704308,4
Inner Richmond,2019-05-23,4,1,Private room in home,Private room,4,2,118.0,4.77912349311153,1
North Beach,2020-01-02,6,1,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562,0
South of Market,2019-03-20,9,1,Room in boutique hotel,Hotel room,2,2,141.0,4.955827057601261,0
Western Addition,2012-10-20,3,1,Private room in condo,Private room,4,2,249.0,5.521460917862246,1
Western Addition,2014-01-27,1,1,Entire rental unit,Entire home/apt,4,2,325.0,5.786897381366708,1
Outer Sunset,2012-07-08,4,1,Private room in rental unit,Private room,2,1,92.0,4.532599493153256,2
Inner Richmond,2013-06-24,5,0,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741,2
Western Addition,2012-10-17,2,1,Entire rental unit,Entire home/apt,4,4,169.0,5.135798437050262,1
Haight Ashbury,2019-10-18,22,1,Entire rental unit,Entire home/apt,4,2,300.0,5.707110264748875,1
Inner Sunset,2014-10-02,1,1,Entire rental unit,Entire home/apt,4,2,160.0,5.081404364984463,1
Ocean View,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,80.0,4.394449154672439,4
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,4,2,275.0,5.62040086571715,0
Inner Richmond,2012-11-01,2,1,Entire guest suite,Entire home/apt,2,1,133.0,4.897839799950911,2
Inner Richmond,2023-01-02,1,0,Entire rental unit,Entire home/apt,3,2,176.0,5.176149732573829,2
Inner Richmond,2017-04-26,5,1,Private room in home,Private room,4,2,95.0,4.564348191467836,1
Inner Richmond,2010-07-19,2,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,1
Outer Mission,2023-05-05,9,1,Private room in home,Private room,2,1,48.0,3.8918202981106265,4
Parkside,2015-02-21,3,1,Private room in home,Private room,2,1,75.0,4.330733340286331,2
Glen Park,2021-04-29,1,1,Entire home,Entire home/apt,5,4,199.0,5.298317366548036,3
Mission,2012-04-03,17,1,Entire townhouse,Entire home/apt,11,7,516.0,6.248042874508429,3
Pacific Heights,2016-08-20,1,1,Entire home,Entire home/apt,7,4,1550.0,7.346655163176539,0
Downtown/Civic Center,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,87.0,4.477336814478207,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,153.0,5.0369526024136295,0
Chinatown,2014-03-24,5,1,Entire rental unit,Entire home/apt,2,1,89.0,4.499809670330265,0
Bernal Heights,2022-02-23,1,1,Entire home,Entire home/apt,6,4,275.0,5.62040086571715,3
Nob Hill,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,161.0,5.087596335232384,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,0
Marina,2019-04-01,1,1,Entire condo,Entire home/apt,2,2,180.0,5.198497031265826,0
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,2,1,114.0,4.74493212836325,0
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,184.0,5.220355825078324,0
Nob Hill,2014-05-21,1,1,Private room in condo,Private room,4,2,357.0,5.8805329864007,0
North Beach,2017-01-11,1,1,Entire condo,Entire home/apt,4,2,146.0,4.990432586778736,0
Bayview,2015-06-10,2,1,Private room in townhouse,Private room,2,1,110.0,4.709530201312334,3
South of Market,2019-10-29,9,1,Entire serviced apartment,Entire home/apt,2,1,99.0,4.605170185988092,0
Russian Hill,2012-02-03,3,1,Entire rental unit,Entire home/apt,5,4,300.0,5.707110264748875,0
Noe Valley,2014-06-05,1,0,Private room in rental unit,Private room,2,1,140.0,4.948759890378168,3
Downtown/Civic Center,2015-10-26,27,1,Room in hotel,Private room,4,2,357.0,5.8805329864007,0
Pacific Heights,2014-09-02,16,1,Room in hotel,Private room,5,3,180.0,5.198497031265826,0
Russian Hill,2015-12-24,43,1,Entire rental unit,Entire home/apt,4,2,185.0,5.225746673713202,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,1,9999.0,9.210340371976184,0
Financial District,2019-08-06,7,1,Room in boutique hotel,Private room,2,2,9999.0,9.210340371976184,0
Inner Richmond,2015-12-28,1,1,Entire rental unit,Entire home/apt,4,2,399.0,5.991464547107982,2
Mission,2014-10-12,2,1,Private room in rental unit,Private room,4,4,49.0,3.912023005428146,3
Outer Sunset,2015-05-22,3,1,Private room in home,Private room,3,2,66.0,4.204692619390966,2
Downtown/Civic Center,2015-12-24,43,1,Entire condo,Entire home/apt,4,2,109.0,4.700480365792417,0
Bernal Heights,2015-06-04,1,1,Private room in home,Private room,2,1,120.0,4.795790545596741,3
Haight Ashbury,2012-11-18,1,1,Entire rental unit,Entire home/apt,3,1,132.0,4.890349128221754,1
Western Addition,2012-10-25,6,1,Entire rental unit,Entire home/apt,2,1,140.0,4.948759890378168,1
South of Market,2011-06-27,1,1,Entire home,Entire home/apt,4,3,314.0,5.752572638825633,0
Mission,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,158.0,5.0689042022202315,1
Visitacion Valley,2016-09-15,5,0,Entire home,Entire home/apt,8,4,212.0,5.3612921657094255,3
Western Addition,2012-10-17,2,1,Private room in home,Private room,1,1,119.0,4.787491742782046,1
Twin Peaks,2014-07-20,1,1,Entire home,Entire home/apt,6,3,471.0,6.156978985585555,4
Haight Ashbury,2019-02-13,2,0,Private room in vacation home,Private room,3,1,175.0,5.170483995038151,1
Pacific Heights,2014-06-11,1,1,Private room in rental unit,Private room,2,1,150.0,5.017279836814924,0
Inner Sunset,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,1
Diamond Heights,2012-03-29,1,1,Entire condo,Entire home/apt,7,6,595.0,6.39024066706535,4
Haight Ashbury,2019-10-18,22,1,Entire rental unit,Entire home/apt,2,1,100.0,4.61512051684126,1
Western Addition,2021-07-19,7,1,Room in boutique hotel,Private room,4,2,323.0,5.780743515792329,1
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836,1
South of Market,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,179.0,5.19295685089021,0
Bernal Heights,2018-02-08,1,0,Entire home,Entire home/apt,5,3,252.0,5.53338948872752,3
South of Market,2013-08-12,1,1,Entire rental unit,Entire home/apt,4,2,329.0,5.799092654460526,0
Inner Richmond,2013-02-18,1,1,Entire home,Entire home/apt,4,2,195.0,5.278114659230517,2
Castro/Upper Market,2011-12-07,1,1,Entire rental unit,Entire home/apt,3,1,125.0,4.836281906951478,1
Haight Ashbury,2018-02-14,12,0,Entire rental unit,Entire home/apt,4,3,145.0,4.983606621708336,1
Financial District,2013-05-06,2,1,Private room in condo,Private room,2,1,199.0,5.298317366548036,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,0
