neighbourhood,latitude,longitude,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price
North Beach,37.80226,-122.40818,2015-08-18,1,1,Entire condo,Entire home/apt,4,2,417.0,6.035481432524756
South of Market,37.77605,-122.41593,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,280.0,5.638354669333745
Noe Valley,37.75043,-122.42609,2013-12-07,1,1,Entire condo,Entire home/apt,4,2,195.0,5.278114659230517
South of Market,37.7762143,-122.4164054,2014-06-02,1,1,Private room in home,Private room,2,1,60.0,4.110873864173311
Castro/Upper Market,37.758919,-122.434776,2012-03-02,1,0,Private room in condo,Private room,1,1,120.0,4.795790545596741
South of Market,37.78098,-122.39753,2019-10-29,9,1,Entire rental unit,Entire home/apt,2,1,99.0,4.605170185988092
Downtown/Civic Center,37.7861,-122.41203,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,81.0,4.406719247264253
Bayview,37.71889,-122.39441,2017-09-09,1,1,Entire home,Entire home/apt,5,3,172.0,5.153291594497779
Nob Hill,37.79083,-122.41759,2019-06-11,55,1,Private room in rental unit,Private room,1,0,47.0,3.871201010907891
Bernal Heights,37.74075288328608,-122.41049278590052,2022-12-06,2,1,Entire home,Entire home/apt,6,2,492.0,6.20050917404269
Noe Valley,37.75191,-122.42818,2019-06-11,55,1,Private room in home,Private room,2,0,47.0,3.871201010907891
South of Market,37.77839,-122.39643,2013-02-20,1,1,Entire condo,Entire home/apt,2,2,250.0,5.5254529391317835
Outer Sunset,37.74828,-122.50808,2013-09-10,1,1,Entire home,Entire home/apt,6,3,700.0,6.55250788703459
Bayview,37.718783202767774,-122.39719841607672,2019-01-23,1,1,Shared room in home,Shared room,1,2,45.0,3.828641396489095
Outer Sunset,37.7593902,-122.5060959,2019-06-17,1,1,Entire home,Entire home/apt,7,4,406.0,6.008813185442595
Haight Ashbury,37.77085,-122.44814,2011-08-29,5,1,Private room in home,Private room,4,2,84.0,4.442651256490317
Crocker Amazon,37.70976,-122.44522,2015-01-24,5,1,Private room in home,Private room,2,1,52.0,3.970291913552122
Outer Richmond,37.77455,-122.49918,2021-09-09,1,1,Entire rental unit,Entire home/apt,4,2,155.0,5.049856007249537
Outer Sunset,37.7595,-122.50489,2014-11-20,2,1,Entire home,Entire home/apt,4,2,185.0,5.225746673713202
Financial District,37.78931,-122.40588,2016-09-05,15,1,Room in boutique hotel,Private room,2,1,128.0,4.859812404361672
Outer Sunset,37.763519,-122.504745,2012-05-07,2,1,Entire condo,Entire home/apt,4,3,160.0,5.081404364984463
Crocker Amazon,37.71156,-122.44494,2015-01-24,5,1,Private room in home,Private room,2,1,50.0,3.9318256327243257
Mission,37.76584,-122.42097,2021-07-29,32,1,Entire serviced apartment,Entire home/apt,2,1,196.0,5.2832037287379885
Outer Richmond,37.78172,-122.49235,2013-04-24,2,1,Entire rental unit,Entire home/apt,6,3,198.0,5.293304824724492
Downtown/Civic Center,37.78662,-122.40961,2014-10-08,19,1,Entire condo,Entire home/apt,8,4,685.0,6.530877627725885
Nob Hill,37.79531,-122.41895,2013-03-19,1,1,Entire home,Entire home/apt,9,4,230.0,5.442417710521793
Western Addition,37.77813,-122.441269,2013-02-19,1,1,Private room in rental unit,Private room,2,1,69.0,4.248495242049359
Nob Hill,37.79030959101732,-122.41668958643838,2022-03-22,7,1,Entire townhouse,Entire home/apt,6,2,395.0,5.981414211254481
Western Addition,37.77702699662469,-122.43216675019914,2020-08-29,1,1,Entire home,Entire home/apt,4,2,400.0,5.993961427306569
South of Market,37.77965835927005,-122.4068994104469,2015-09-06,4,1,Room in hotel,Private room,2,1,63.0,4.1588830833596715
Outer Mission,37.72064,-122.44384,2016-05-23,1,0,Entire condo,Entire home/apt,3,2,150.0,5.017279836814924
Western Addition,37.77646,-122.42586,2018-02-18,1,1,Entire home,Entire home/apt,6,3,356.0,5.877735781779639
Ocean View,37.71762,-122.46577,2012-02-01,1,1,Private room in townhouse,Private room,1,1,40.0,3.713572066704308
Inner Richmond,37.77637771653437,-122.45058686903596,2019-05-23,4,1,Private room in home,Private room,4,2,118.0,4.77912349311153
North Beach,37.80658721923828,-122.4180145263672,2020-01-02,6,1,Room in boutique hotel,Private room,2,1,255.0,5.545177444479562
South of Market,37.77949,-122.41133,2019-03-20,9,1,Room in boutique hotel,Hotel room,2,2,141.0,4.955827057601261
Western Addition,37.774323,-122.43644,2012-10-20,3,1,Private room in condo,Private room,4,2,249.0,5.521460917862246
Western Addition,37.77485,-122.42614,2014-01-27,1,1,Entire rental unit,Entire home/apt,4,2,325.0,5.786897381366708
Outer Sunset,37.764172,-122.477547,2012-07-08,4,1,Private room in rental unit,Private room,2,1,92.0,4.532599493153256
Inner Richmond,37.77547,-122.46536,2013-06-24,5,0,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741
Western Addition,37.772939613803125,-122.43210890456736,2012-10-17,2,1,Entire rental unit,Entire home/apt,4,4,169.0,5.135798437050262
Haight Ashbury,37.76855,-122.44275,2019-10-18,22,1,Entire rental unit,Entire home/apt,4,2,300.0,5.707110264748875
Inner Sunset,37.76546,-122.45824,2014-10-02,1,1,Entire rental unit,Entire home/apt,4,2,160.0,5.081404364984463
