neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
North Beach,1,1,Entire condo,Entire home/apt,4,2,417.0,3026,6.035481432524756,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,280.0,854,5.638354669333745,0
Noe Valley,1,1,Entire condo,Entire home/apt,4,2,195.0,3645,5.278114659230517,3
South of Market,1,1,Private room in home,Private room,2,1,60.0,3468,4.110873864173311,0
Castro/Upper Market,1,0,Private room in condo,Private room,1,1,120.0,4290,4.795790545596741,1
South of Market,9,1,Entire rental unit,Entire home/apt,2,1,99.0,1493,4.605170185988092,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,81.0,4000,4.406719247264253,0
Bayview,1,1,Entire home,Entire home/apt,5,3,172.0,2273,5.153291594497779,3
Nob Hill,55,1,Private room in rental unit,Private room,1,0,47.0,1633,3.871201010907891,0
Bernal Heights,2,1,Entire home,Entire home/apt,6,2,492.0,359,6.20050917404269,3
Noe Valley,55,1,Private room in home,Private room,2,0,47.0,1633,3.871201010907891,3
South of Market,1,1,Entire condo,Entire home/apt,2,2,250.0,3935,5.5254529391317835,0
Outer Sunset,1,1,Entire home,Entire home/apt,6,3,700.0,3733,6.55250788703459,2
Bayview,1,1,Shared room in home,Shared room,1,2,45.0,1772,3.828641396489095,3
Outer Sunset,1,1,Entire home,Entire home/apt,7,4,406.0,1627,6.008813185442595,2
Haight Ashbury,5,1,Private room in home,Private room,4,2,84.0,4476,4.442651256490317,1
Crocker Amazon,5,1,Private room in home,Private room,2,1,52.0,3232,3.970291913552122,4
Outer Richmond,1,1,Entire rental unit,Entire home/apt,4,2,155.0,812,5.049856007249537,2
Outer Sunset,2,1,Entire home,Entire home/apt,4,2,185.0,3297,5.225746673713202,2
Financial District,15,1,Room in boutique hotel,Private room,2,1,128.0,2642,4.859812404361672,0
Outer Sunset,2,1,Entire condo,Entire home/apt,4,3,160.0,4224,5.081404364984463,2
Crocker Amazon,5,1,Private room in home,Private room,2,1,50.0,3232,3.9318256327243257,4
Mission,32,1,Entire serviced apartment,Entire home/apt,2,1,196.0,854,5.2832037287379885,1
Outer Richmond,2,1,Entire rental unit,Entire home/apt,6,3,198.0,3872,5.293304824724492,2
Downtown/Civic Center,19,1,Entire condo,Entire home/apt,8,4,685.0,3340,6.530877627725885,0
Nob Hill,1,1,Entire home,Entire home/apt,9,4,230.0,3908,5.442417710521793,0
Western Addition,1,1,Private room in rental unit,Private room,2,1,69.0,3936,4.248495242049359,1
Nob Hill,7,1,Entire townhouse,Entire home/apt,6,2,395.0,618,5.981414211254481,0
Western Addition,1,1,Entire home,Entire home/apt,4,2,400.0,1188,5.993961427306569,1
South of Market,4,1,Room in hotel,Private room,2,1,63.0,3007,4.1588830833596715,0
Outer Mission,1,0,Entire condo,Entire home/apt,3,2,150.0,2747,5.017279836814924,4
Western Addition,1,1,Entire home,Entire home/apt,6,3,356.0,2111,5.877735781779639,1
Ocean View,1,1,Private room in townhouse,Private room,1,1,40.0,4320,3.713572066704308,4
Inner Richmond,4,1,Private room in home,Private room,4,2,118.0,1652,4.77912349311153,1
North Beach,6,1,Room in boutique hotel,Private room,2,1,255.0,1428,5.545177444479562,0
South of Market,9,1,Room in boutique hotel,Hotel room,2,2,141.0,1716,4.955827057601261,0
Western Addition,3,1,Private room in condo,Private room,4,2,249.0,4058,5.521460917862246,1
Western Addition,1,1,Entire rental unit,Entire home/apt,4,2,325.0,3594,5.786897381366708,1
Outer Sunset,4,1,Private room in rental unit,Private room,2,1,92.0,4162,4.532599493153256,2
Inner Richmond,5,0,Entire rental unit,Entire home/apt,2,1,120.0,3811,4.795790545596741,2
Western Addition,2,1,Entire rental unit,Entire home/apt,4,4,169.0,4061,5.135798437050262,1
Haight Ashbury,22,1,Entire rental unit,Entire home/apt,4,2,300.0,1504,5.707110264748875,1
Inner Sunset,1,1,Entire rental unit,Entire home/apt,4,2,160.0,3346,5.081404364984463,1
Ocean View,22,1,Entire rental unit,Entire home/apt,2,1,80.0,1504,4.394449154672439,4
Chinatown,24,1,Room in boutique hotel,Private room,4,2,275.0,2868,5.62040086571715,0
Inner Richmond,2,1,Entire guest suite,Entire home/apt,2,1,133.0,4046,4.897839799950911,2
Inner Richmond,1,0,Entire rental unit,Entire home/apt,3,2,176.0,332,5.176149732573829,2
Inner Richmond,5,1,Private room in home,Private room,4,2,95.0,2409,4.564348191467836,1
Inner Richmond,2,1,Entire rental unit,Entire home/apt,2,1,150.0,4882,5.017279836814924,1
Outer Mission,9,1,Private room in home,Private room,2,1,48.0,209,3.8918202981106265,4
Parkside,3,1,Private room in home,Private room,2,1,75.0,3204,4.330733340286331,2
Glen Park,1,1,Entire home,Entire home/apt,5,4,199.0,945,5.298317366548036,3
Mission,17,1,Entire townhouse,Entire home/apt,11,7,516.0,4258,6.248042874508429,3
Pacific Heights,1,1,Entire home,Entire home/apt,7,4,1550.0,2658,7.346655163176539,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,87.0,4000,4.477336814478207,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,153.0,854,5.0369526024136295,0
Chinatown,5,1,Entire rental unit,Entire home/apt,2,1,89.0,3538,4.499809670330265,0
Bernal Heights,1,1,Entire home,Entire home/apt,6,4,275.0,645,5.62040086571715,3
Nob Hill,32,1,Entire serviced apartment,Entire home/apt,2,1,161.0,854,5.087596335232384,0
Downtown/Civic Center,43,1,Entire rental unit,Entire home/apt,2,1,125.0,2898,4.836281906951478,0
Marina,1,1,Entire condo,Entire home/apt,2,2,180.0,1704,5.198497031265826,0
Downtown/Civic Center,43,1,Entire condo,Entire home/apt,2,1,114.0,2898,4.74493212836325,0
South of Market,32,1,Entire serviced apartment,Entire home/apt,2,1,184.0,854,5.220355825078324,0
Nob Hill,1,1,Private room in condo,Private room,4,2,357.0,3480,5.8805329864007,0
North Beach,1,1,Entire condo,Entire home/apt,4,2,146.0,2514,4.990432586778736,0
Bayview,2,1,Private room in townhouse,Private room,2,1,110.0,3095,4.709530201312334,3
South of Market,9,1,Entire serviced apartment,Entire home/apt,2,1,99.0,1493,4.605170185988092,0
Russian Hill,3,1,Entire rental unit,Entire home/apt,5,4,300.0,4318,5.707110264748875,0
Noe Valley,1,0,Private room in rental unit,Private room,2,1,140.0,3465,4.948759890378168,3
Downtown/Civic Center,27,1,Room in hotel,Private room,4,2,357.0,2957,5.8805329864007,0
Pacific Heights,16,1,Room in hotel,Private room,5,3,180.0,3376,5.198497031265826,0
